Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Samsung,Galaxy Tab4 10.1,matissewifikx,1403-1405MB,Tablet,Qualcomm APQ8026,1280x800,160,armeabi-v7a;armeabi,19;22,3
Samsung,Galaxy Tab4 Nook 10.1,matissewifiopenbnn,1407-1408MB,Tablet,Qualcomm APQ8026,1280x800,160,armeabi-v7a;armeabi,19;21,3
Samsung,Galaxy Tab4 10.1,matissewifiue,1407-1408MB,Tablet,Qualcomm APQ8026,1280x800,160,armeabi-v7a;armeabi,19;21,3
Smadl,SMADL,Matri2,937MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2
Mobicell,Matrix,Matrix,,Phone,Mediatek MT6571,480x800,240,armeabi-v7a;armeabi,19,2
ODYS,MAVEN_X10_HD_LTE,MAVEN_X10_HD_LTE,1895MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Smart,Max,Max,874MB,Phone,Mediatek MT6737M,480x800,240,armeabi-v7a;armeabi,24,3.1
ZTE,N9521,max,1910MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22,3
LeTV,Le Max,max1_in,3687MB,Phone,Qualcomm MSM8994,1440x2560,560,arm64-v8a;armeabi-v7a;armeabi,21,3.1
Innjoo,Max3 LTE,Max3_LTE,1926MB,Phone,Mediatek MT6735P,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3
Pegatron,MaxiIQ,MaxiIQ,975MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,16,2
Maxvi,Maxvi_MS401,Maxvi_MS401,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2
Meitu,Maya,Maya,3765MB,Phone,Mediatek MT6797M,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3
Meitu,M8s,MayaS,3751MB,Phone,Mediatek MT6797,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Sourcing Creation,Key'TAB 1001,MB979T9,1886MB,Tablet,Intel Z3735F,1536x2048,320,x86;armeabi-v7a;armeabi,22,3.1
Logicom,M bot 51,Mbot51,901MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Logicom,M bot 60,Mbot60,927MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Logicom,M bot tab 101,MBOTTAB101,1002MB,Tablet,Allwinner A33,800x1280,160,armeabi-v7a;armeabi,23,2
Logicom,M bot Tab 103,MbotTab103,983MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,25,2
Infocus,Smart503,MC2,853MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3
Infocus,M518,MC2_APT,853MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3
Infocus,M512,MC2_CN,851MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3
Zebra,MC330K,MC33,3632MB,Phone,Qualcomm APQ8056,480x800,240,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
